fold,roc_auc,precision,recall,f1,f2,threshold,tp,fp,fn,tn
1,0.9753138319612308,0.4090909090909091,0.5454545454545454,0.4675324675324675,0.5113636363636364,0.589722576504333,18,26,15,2569
2,0.988310854206808,0.43333333333333335,0.7878787878787878,0.5591397849462365,0.6770833333333334,0.8621215345837566,26,34,7,2561
3,0.9731535003211305,0.5405405405405406,0.6060606060606061,0.5714285714285714,0.591715976331361,0.7404419795350814,20,17,13,2578
4,0.965458048695043,0.4444444444444444,0.8484848484848485,0.5833333333333334,0.717948717948718,0.6338663237457818,28,35,5,2560
5,0.9797045600513808,0.6,0.45454545454545453,0.5172413793103449,0.47770700636942676,0.8746552201594371,15,10,18,2585
